date,product_id,quantity,unit
2021-01-01,IVP04009,0.0,PZA
2021-01-02,IVP04009,0.0,PZA
2021-01-03,IVP04009,0.0,PZA
2021-01-04,IVP04009,0.0,PZA
2021-01-05,IVP04009,18.0,PZA
2021-01-06,IVP04009,0.0,PZA
2021-01-07,IVP04009,0.0,PZA
2021-01-08,IVP04009,288.0,PZA
2021-01-09,IVP04009,0.0,PZA
2021-01-10,IVP04009,0.0,PZA
2021-01-11,IVP04009,36.0,PZA
2021-01-12,IVP04009,0.0,PZA
2021-01-13,IVP04009,18.0,PZA
2021-01-14,IVP04009,36.0,PZA
2021-01-15,IVP04009,18.0,PZA
2021-01-16,IVP04009,36.0,PZA
2021-01-17,IVP04009,0.0,PZA
2021-01-18,IVP04009,0.0,PZA
2021-01-19,IVP04009,18.0,PZA
2021-01-20,IVP04009,0.0,PZA
2021-01-21,IVP04009,0.0,PZA
2021-01-22,IVP04009,0.0,PZA
2021-01-23,IVP04009,0.0,PZA
2021-01-24,IVP04009,90.0,PZA
2021-01-25,IVP04009,90.0,PZA
2021-01-26,IVP04009,18.0,PZA
2021-01-27,IVP04009,72.0,PZA
2021-01-28,IVP04009,90.0,PZA
2021-01-29,IVP04009,0.0,PZA
2021-01-30,IVP04009,18.0,PZA
2021-01-31,IVP04009,0.0,PZA
2021-02-01,IVP04009,0.0,PZA
2021-02-02,IVP04009,0.0,PZA
2021-02-03,IVP04009,0.0,PZA
2021-02-04,IVP04009,0.0,PZA
2021-02-05,IVP04009,0.0,PZA
2021-02-06,IVP04009,0.0,PZA
2021-02-07,IVP04009,0.0,PZA
2021-02-08,IVP04009,0.0,PZA
2021-02-09,IVP04009,0.0,PZA
2021-02-10,IVP04009,0.0,PZA
2021-02-11,IVP04009,36.0,PZA
2021-02-12,IVP04009,0.0,PZA
2021-02-13,IVP04009,0.0,PZA
2021-02-14,IVP04009,0.0,PZA
2021-02-15,IVP04009,18.0,PZA
2021-02-16,IVP04009,72.0,PZA
2021-02-17,IVP04009,54.0,PZA
2021-02-18,IVP04009,0.0,PZA
2021-02-19,IVP04009,18.0,PZA
2021-02-20,IVP04009,0.0,PZA
2021-02-21,IVP04009,0.0,PZA
2021-02-22,IVP04009,9.0,PZA
2021-02-23,IVP04009,90.0,PZA
2021-02-24,IVP04009,0.0,PZA
2021-02-25,IVP04009,18.0,PZA
2021-02-26,IVP04009,36.0,PZA
2021-02-27,IVP04009,0.0,PZA
2021-02-28,IVP04009,0.0,PZA
2021-03-01,IVP04009,0.0,PZA
2021-03-02,IVP04009,72.0,PZA
2021-03-03,IVP04009,0.0,PZA
2021-03-04,IVP04009,0.0,PZA
2021-03-05,IVP04009,216.0,PZA
2021-03-06,IVP04009,0.0,PZA
2021-03-07,IVP04009,0.0,PZA
2021-03-08,IVP04009,0.0,PZA
2021-03-09,IVP04009,0.0,PZA
2021-03-10,IVP04009,54.0,PZA
2021-03-11,IVP04009,144.0,PZA
2021-03-12,IVP04009,36.0,PZA
2021-03-13,IVP04009,36.0,PZA
2021-03-14,IVP04009,0.0,PZA
2021-03-15,IVP04009,0.0,PZA
2021-03-16,IVP04009,0.0,PZA
2021-03-17,IVP04009,0.0,PZA
2021-03-18,IVP04009,0.0,PZA
2021-03-19,IVP04009,0.0,PZA
2021-03-20,IVP04009,0.0,PZA
2021-03-21,IVP04009,0.0,PZA
